SP1,SP2,SP3,SP4,MV1,MV2,MV3
71.21115948459035,245.81682123664126,530.8002853516601,754.2558861708072,797.5637522807177,3026.9869002801097,1.717633026636889
71.21564973125203,245.82354191919512,530.8005239419394,754.2578395945626,797.5822575119893,3026.9636848955106,1.7175812761840856
71.2206498295371,245.83059048236734,530.8008339938992,754.259881224429,797.6031561934337,3026.935030566015,1.7175258853442892
71.22583024129341,245.83758505762083,530.8012626821633,754.262225141815,797.6234359916514,3026.9082049822073,1.7174737366175492
71.23113604349561,245.84446200019943,530.8018178691689,754.2649070269553,797.6425948510758,3026.884419425851,1.7174259770872071
71.2365672361437,245.85122131010314,530.802499554916,754.2679268798498,797.6606327717069,3026.863673896946,1.7173826067532627
71.24212381923769,245.85786298733194,530.8033077394049,754.2712847004987,797.6775497535447,3026.845968395492,1.7173436256157162
71.24780579277758,245.86438703188588,530.8042424226353,754.274980488902,797.6933457965891,3026.8313029214896,1.7173090336745673
71.25361315676335,245.8707934437649,530.8053036046073,754.2790142450594,797.7080209008402,3026.819677474939,1.7172788309298164
71.25954591119502,245.87708222296905,530.8064912853208,754.2833859689714,797.721575066298,3026.8110920558397,1.7172530173814633
71.26560405607258,245.8832533694983,530.8078054647759,754.2880956606375,797.7340082929625,3026.8055466641913,1.7172315930295081
71.27178759139603,245.88930688335267,530.8092461429726,754.2931433200581,797.7453205808337,3026.803041299995,1.7172145578739506
71.27809651716538,245.89524276453216,530.810813319911,754.298528947233,797.7555119299114,3026.80357596325,1.7172019119147908
71.28453083338061,245.90106101303672,530.8125069955908,754.3042525421621,797.764582340196,3026.807150653956,1.717193655152029
71.29109054004175,245.90676162886643,530.8143271700122,754.3103141048456,797.7725318116871,3026.8137653721133,1.717189787585665
71.29777563714877,245.91234461202123,530.8162738431753,754.3167136352835,797.779360344385,3026.8234201177224,1.7171903092156988
71.30458612470169,245.91780996250114,530.8183470150799,754.3234511334756,797.7850679382896,3026.836114890783,1.7171952200421303
71.3115220027005,245.92315768030616,530.8205466857261,754.330526599422,797.7896545934008,3026.851849691295,1.7172045200649597
71.3185832711452,245.9283877654363,530.8228728551139,754.3379400331229,797.7931203097187,3026.870624519258,1.717218209284187
71.32576993003579,245.93350021789152,530.8253255232432,754.3456914345779,797.7954650872433,3026.8924393746724,1.717236287699812
71.33308197937228,245.93849503767188,530.8279046901142,754.3537808037873,797.7966889259745,3026.9172942575387,1.7172587553118348
71.34049209104438,245.94337009921222,530.8305053476465,754.3619927571045,797.796872395728,3026.9447189065368,1.717284683228296
71.34783629639041,245.9481126491218,530.8324974473594,754.3690349926499,797.7964989153967,3026.971891753753,1.717308498097438
71.35508726730009,245.9527205618355,530.8337759811725,754.3746921267767,797.7956490547961,3026.9983425378678,1.7173292710273014
71.36224500377342,245.95719383735332,530.8343409490859,754.3789641594851,797.7943228139262,3027.024071258881,1.7173470020178863
71.36930950581042,245.96153247567526,530.8341923510995,754.381851090775,797.792520192787,3027.0490779167935,1.7173616910691925
71.37628077341105,245.9657364768013,530.8333301872136,754.3833529206464,797.7902411913788,3027.073362511604,1.7173733381812202
71.38315880657535,245.96980584073148,530.8317544574279,754.3834696490994,797.7874858097011,3027.0969250433136,1.7173819433539692
71.38994360530329,245.9737405674658,530.8294651617424,754.3822012761339,797.7842540477542,3027.1197655119217,1.7173875065874395
71.39663516959489,245.9775406570042,530.8264623001573,754.3795478017499,797.780545905538,3027.1418839174285,1.7173900278816314
71.40323349945012,245.98120610934674,530.8227458726725,754.3755092259476,797.7763613830526,3027.163280259834,1.7173895072365446
71.40973859486903,245.98473692449338,530.818315879288,754.3700855487266,797.771700480298,3027.183954539138,1.7173859446521793
